央视,#genre#

CCTV1,https://live.ottiptv.cc/mcp/cctv1.m3u8?userid=7597565879&sign=3fe0a7d3e5e58ca0f38e81bb0bcae4eb625e8ebee971a086e7554488b7ef4d1a5724bd3026c5c7abe6dae77a1f2baaaf48b5b59451abdcd7353c893a4ee17f761f88e7e134fc08206618e88d7f&auth_token=7046e69a028696bcb73130b3245ce82e
CCTV2,https://live.ottiptv.cc/mcp/cctv2.m3u8?userid=7597565879&sign=67f12a2729a5c44c21b1a07327cb123ff66e7c5d04a02055911d99af52a818b8ad0192ab5e2f789b26ec0a0793b609ddbafde405c35771987dff4de4e95258df63f3837431104e40638f01d7be&auth_token=7046e69a028696bcb73130b3245ce82e
CCTV3,https://live.ottiptv.cc/mcp/cctv3.m3u8?userid=7597565879&sign=3f31bbead7fe3c528fb16a58e92120bc5408eec69738d5ad75bfde5fb1d0fe7ab84e19332949c83c637e63194f9199d2a0eed150a05e6d4d58e3775a177dd823033ada26c15367ce67e30515a7&auth_token=7046e69a028696bcb73130b3245ce82e
CCTV4,https://live.ottiptv.cc/mcp/cctv4.m3u8?userid=7597565879&sign=ceb4fa1cfc3e60e922b2d68a6a1626b2737522d6225196e2d59e8ab11366d3e2a129bcfe7dcc6760acd442752e934a0ec18603f59d37cb99b89bb9ffe277146564bf45cfed072c760f0ba8f1f5&auth_token=7046e69a028696bcb73130b3245ce82e
CCTV5,https://live.ottiptv.cc/mcp/cctv5.m3u8?userid=7597565879&sign=c1d428d05198901caaca6c7464d8bc98441540ddc32ad22909712a98273fd5fb62e09dd68bf6df683e092bf3e44906c98a04f2273333c0276db455fade9cbc3cf95ede93ad63101c6f82f5a7ab&auth_token=7046e69a028696bcb73130b3245ce82e
CCTV5+,https://live.ottiptv.cc/mcp/cctv5p.m3u8?userid=7597565879&sign=b0c6e67db3892341ee348dfdc7dcc37af9816a5ca39d7671b55045aae623af9c41d578eea6df91eec0a8ecb7e4e642f647710decd9812c6b1e8490a1db26748e08f28aaf68a7408e7e52883d1ba2&auth_token=7046e69a028696bcb73130b3245ce82e
CCTV6,https://live.ottiptv.cc/mcp/cctv6.m3u8?userid=7597565879&sign=c22e7557db80911674c0aff54839b1db19063a0143ab080254aa4a84febe1d7841b7a28f86561369ddd4e8645c55640b6ee0287b4fd20582c4d6e5787fe64eb844871f007ca3e14eac89e3ab34&auth_token=7046e69a028696bcb73130b3245ce82e
CCTV7,https://live.ottiptv.cc/mcp/cctv7.m3u8?userid=7597565879&sign=a61a6c1db5b9a16230240021229e4ab48268d9fd51109d230eb25c2e84fef7cf69349eaab963b42cd12894c6d78b0257b0d0bc92636eaa07d590c5ce770c359939587079c120e6c48ac8246773&auth_token=7046e69a028696bcb73130b3245ce82e
CCTV8,https://live.ottiptv.cc/mcp/cctv8.m3u8?userid=7597565879&sign=99194cf55e944bef592cb45e94132ec2491ac4b1d11fcb84641d3baee3f03c42262383a013d5fa16088687f1c4a74955ff3d4d435bde48cff41f861cdce08b06f6ea73578d53bb8f2088d10d92&auth_token=7046e69a028696bcb73130b3245ce82e
CCTV9,https://live.ottiptv.cc/mcp/cctv9.m3u8?userid=7597565879&sign=42bda91b3fc9bcde0a45e00c2bb40fd1baa342fad6422cd54da5d0341a0ae927f3dbb1f86a2ff65c3638eda2678a2fc0575db3f5882d6b29e5c8e8b40e2201759e5590d09535a814d95850b5eb&auth_token=7046e69a028696bcb73130b3245ce82e
CCTV10,https://live.ottiptv.cc/mcp/cctv10.m3u8?userid=7597565879&sign=b1968a5cbd5db35c6eccc3d6ccfa057fc7f473c5ab0c48b7ba781e1972a414df61331607a83b977bd84f913c0c23e96aed1639d87ce430a4c728a644b665d1f61a2344b0eabe266eaaf446265654&auth_token=7046e69a028696bcb73130b3245ce82e
CCTV11,https://live.ottiptv.cc/mcp/cctv11.m3u8?userid=7597565879&sign=1598816c46dbc13a87e6b440bd7aacddbba235e7baa89cdbaac168603eb0664c89ce95d2eb9a829f5ff7c5a808f341a07f273111d37bb9ea7666811bc21e4005cdb453369bbfcd0317a952e2d6da&auth_token=7046e69a028696bcb73130b3245ce82e
CCTV12,https://live.ottiptv.cc/mcp/cctv12.m3u8?userid=7597565879&sign=9e4e9d7efbae2e3ed55186221d47399dec5722073d9ddee072e1ca4457acc460c7b198609d337752b305a88f1a72b5503cd766de435177c02db375380d1a0d959828c00f5aa47f8c69077c7344e4&auth_token=7046e69a028696bcb73130b3245ce82e
CCTV13,https://live.ottiptv.cc/mcp/cctv13.m3u8?userid=7597565879&sign=df3055796637b91950b4b2c334d0cb0fd12fe5b2fff82c02d95d91097b2fa9180187fb2b2ce40889bb4efd9915a667fd2454b753488a1c5fa3425c7dfefe56cb042b5a765e5a46c16da271445b16&auth_token=7046e69a028696bcb73130b3245ce82e
